【關於】,#genre#
=2025-09-27=,

Home,#genre#
無綫新聞,https://hls.168.us.kg/u/83/master.m3u8
無綫新聞,http://182.93.7.202:1001/hls/313/index.m3u8&稍卡頓
無綫新聞,http://nz171l122.bb60246.ctm.net:8892/bysid/83.m3u8&卡頓花
無綫新聞,mitv://147.135.39.171:9906/60410a86000b2b564b7737ca69aa1a5d

無綫新聞http://bxtv.3a.ink/api.php?id=wxxw$失效中


無綫新聞海外版,http://v2hcdn.jdshipin.com/news/news.stream/chunklist_w1005.m3u8
無綫新聞海外版,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbxw



有線新聞,


翡翠台,http://182.93.7.202:1001/hls/307/index.m3u8&稍卡頓
翡翠台,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠台http://bxtv.3a.ink/api.php?id=fct失效中


華麗翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
華麗翡翠台,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8

民視 HD,http://litv.zapi.us.kg/?id=4gtv-4gtv002
民視 HD,http://litv.zapi.us.kg/?id=4gtv-4gtv155
民視 HD,rtmp://f13h.mine.nu/sat/tv051

台視 HD,http://litv.zapi.us.kg/?id=4gtv-4gtv066
台視 HD,rtmp://f13h.mine.nu/sat/tv071

中視 HD,http://litv.zapi.us.kg/?id=4gtv-4gtv040
中視 HD,rtmp://f13h.mine.nu/sat/tv091

華視 HD,http://litv.zapi.us.kg/?id=4gtv-4gtv041
華視 HD,rtmp://f13h.mine.nu/sat/tv111

5-10分鐘斷流,#genre#
無綫新聞,mitv://147.135.39.171:9906/60410a86000b2b564b7737ca69aa1a5d

✈【HKTV】🇭🇰港,#genre#
鳳凰中文,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=VvUBFU&tk=88i0dBPf9qRn
鳳凰資訊,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ytUjOP&tk=88i0dBPf9qRn
鳳凰香港,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=JoOG8g&tk=88i0dBPf9qRn
星空衛視(國際),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ea0j4Z&tk=88i0dBPf9qRn
星空衛視,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bbVGCq&tk=88i0dBPf9qRn
高清HD劇場,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ANrLxA&tk=88i0dBPf9qRn
TVB翡翠,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YIXONc&tk=88i0dBPf9qRn
華麗翡翠,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OD8gJ5&tk=88i0dBPf9qRn
TVB翡翠(馬來),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=FrswHf&tk=88i0dBPf9qRn
TVB無線新聞,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uOS4YN&tk=88i0dBPf9qRn
TVB明珠,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lNRAX4&tk=88i0dBPf9qRn
TVB_Plus,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OXCYl0&tk=88i0dBPf9qRn
TVB娛樂新聞,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=KVV8jR&tk=88i0dBPf9qRn
TVB越南,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZrIkCM&tk=88i0dBPf9qRn
TVB生活台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BrZZju&tk=88i0dBPf9qRn
ViuTV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hsohVe&tk=88i0dBPf9qRn
ViuTV6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WESIzS&tk=88i0dBPf9qRn
HOY76,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bO2v5i&tk=88i0dBPf9qRn
HOY77,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=e4maoq&tk=88i0dBPf9qRn
HOY78,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=VhxkJe&tk=88i0dBPf9qRn
RTHK31,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Rajmdu&tk=88i0dBPf9qRn
RTHK32,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=pxl3iq&tk=88i0dBPf9qRn
